Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month)
2004-06-20 16:51,1087721499,gci,52.191803,-12.5,86.310501,8.97,23670000000,27310000000,19.2,16.57,1.74,3.46,2.76,3.96,12.12,17.94,29.26,8.54,15.68,6890000000,25.211,N/A,3260000000,2250000000,1240000000,4.524,N/A,75740000,0.28,3720000000,0.431,1.166,31.693001,N/A,N/A,0.663,87.83,85.68,919954,272490000,269800000,0.99,80.91,2400000,2.409,0.89,3020000
2009-02-06 0:56,1233852993,gci,3.500961,185.44,72.268158,25.46,1090000000,4870000000,N/A,2.58,0.6,0.16,0.16,0.72,3.296,-26.35,17.79,N/A,-22.82,6770000000,29.645,-6.5,3280000000,1480000000,-1780000000,-7.81,-35.6,122780000,0.538,3910000000,0.592,N/A,28.959,N/A,N/A,1.62,7.46,12.39,5728330,228120000,227340000,0.41,107.2,60050000,13.6,26.4,57950000
2004-11-02 14:09,1099375793,gci,49.667793,-19.99,86.608742,9.37,21920000000,25830000000,17.82,15.63,1.74,3.11,2.58,3.66,11.2,17.94,29.25,8.62,15.48,7060000000,25.773,N/A,3260000000,2310000000,1270000000,4.624,N/A,112190000,0.42,4020000000,0.471,1.326,31.972,N/A,N/A,0.687,84.05,85.53,851863,266120000,263500000,0.98,81.17,3130000,3.779,1.19,4000000
2013-03-31 18:22,1364725353,gci,17.747978,30.36,142.352524,21.77,5020000000,6280000000,12.22,8.71,1.98,0.94,2.14,1.17,5.68,7.93,17.03,8.77,18.77,5350000000,23.04,9.4,2410000000,1110000000,424280000,1.79,-11.8,175030000,0.76,1430000000,56.15,1.15,10.22,756740000,648170000,1.55,20.75,18.82,2670220,229630000,227800000,0.39,97,26190000,9.8,11.5,24270000
2012-02-29 5:10,1330463445,gci,11.299556,42.76,121.258133,13.1,3570000000,5200000000,7.98,7.47,1.17,0.69,1.55,0.99,4.93,8.76,16.38,7.98,20.29,5240000000,21.9,-5.1,2280000000,1060000000,458750000,1.89,-32.8,166930000,0.71,1760000000,70.08,1.19,9.82,814140000,637240000,2.75,14.94,12.17,4422320,236930000,235250000,10.62,86.5,23330000,5.2,9.8,18990000
2008-10-22 17:47,1224668828,gci,6.335158,61.97,74.702682,23.75,2230000000,6140000000,N/A,3.27,0.99,0.34,0.36,0.87,3.225,-22.84,22.9,6.88,-20.96,7090000000,30.783,-10.2,3280000000,1900000000,-1620000000,-7.032,N/A,577360000,2.531,4320000000,0.651,1.848,29.125999,1230000000,1130000000,1.15,15.7225,21.7189,5379050,228110000,227340000,0.41,109.9,43930000,7.8,19.3,49640000
2013-04-25 3:46,1366832763,gci,16.668655,37.39,144.033463,19.89,4640000000,5940000000,11.28,8.02,1.57,0.86,1.96,1.11,5.37,7.93,17.03,8.77,18.77,5350000000,23.04,9.4,2410000000,1110000000,424280000,1.79,-11.8,175030000,0.76,1430000000,56.15,1.15,10.22,756740000,648170000,1.55,21.32,19.22,2755760,229630000,227800000,0.39,97,25270000,10.7,11.1,26190000
2007-04-07 18:51,1175943118,gci,35.30423,-45.23,115.361717,-3.25,13140000000,19720000000,11.42,10.97,1.43,1.64,1.57,2.46,8.672,14.45,24.87,N/A,14.59,8030000000,33.98,7.5,3540000000,2270000000,1160000000,4.9,3,131960000,0.563,5490000000,0.658,N/A,35.708,N/A,N/A,0.41,58.96,58.88,1380320,234820000,233870000,0.19,89.4,4510000,4.3,1.9,5050000
2005-04-23 22:06,1114265177,gci,45.947819,-26.46,89.177261,15.49,19090000000,23570000000,15.34,13.33,1.66,2.63,2.4,3.19,9.85,17.85,29.1,8.75,15.82,7380000000,27.571,N/A,3560000000,2390000000,1320000000,4.93,N/A,135870000,0.54,4610000000,0.564,1.363,32.098,N/A,N/A,0.524,79.16,81.63,1160825,252200000,252100000,0.04,79.08,3880000,3.65,1.54,4520000
2006-03-31 23:16,1143818208,gci,36.993389,-4.02,101.952477,11.4,14270000000,19550000000,11.86,11.41,1.46,1.88,1.88,2.57,8.41,16.38,26.95,8.22,15.4,7600000000,31.021,6.1,3540000000,2320000000,1210000000,5.05,-9.2,162630000,0.683,5440000000,0.718,1.334,31.802999,1430000000,2050000000,0.76,61.32,63.28,1234920,238080000,237620000,0.19,81.6,5780000,6.6,2.4,4810000
2011-09-05 15:52,1315209166,gci,7.837008,57.06,103.102608,22.21,2510000000,4370000000,4.9,4.58,0.86,0.5,1.11,0.82,3.62,9.66,18.68,9.31,23.65,5360000000,22.4,-2.2,N/A,1210000000,517560000,2.13,-22.5,165340000,0.69,2020000000,77.1,1.19,10.09,746270000,682420000,2.63,11.62,14.05,4614610,240790000,239180000,0.13,95,24990000,4.3,10.5,24640000
2006-08-30 3:42,1156880570,gci,35.414482,-14.95,103.057755,13.91,13290000000,18060000000,11.36,11.11,1.23,1.68,1.63,2.31,7.914,15.15,25.65,8.04,14.74,7830000000,32.744,6.1,3540000000,2280000000,1160000000,4.95,-8.3,133590000,0.565,5050000000,0.623,1.423,34.207001,1420000000,984550000,0.52,54.25,56.56,1327760,236380000,235930000,0.19,85.5,7090000,5.3,3,6010000
2005-01-20 15:14,1106205284,gci,48.786949,-21.6,90.311737,9.1,20500000000,25200000000,16.82,15.39,1.76,2.86,2.65,3.48,10.7,17.91,29.19,8.74,15.72,7240000000,26.651,N/A,3260000000,2360000000,1300000000,4.775,N/A,120370000,0.47,4580000000,0.581,1.227,30.622999,N/A,N/A,0.601,80.66,84.01,1097090,255250000,252400000,1.12,81.78,3670000,3.185,1.46,3360000
